product_code,quantity_sold,sale_value,date
SKU00001,52,157.98,2024-01-18
SKU00002,93,256.53,2025-06-17
SKU00003,15,470.4,2024-07-02
SKU00004,72,24.84,2025-10-18
SKU00005,61,176.76,2025-07-03
SKU00006,21,428.43,2024-10-07
SKU00007,83,198.63,2024-10-14
SKU00008,87,100.38,2025-10-16
SKU00009,75,212.97,2025-06-08
SKU00010,75,193.39,2025-04-18
SKU00011,88,457.79,2024-09-23
SKU00012,100,381.21,2025-08-31
SKU00013,24,253.05,2024-12-22
SKU00014,3,494.2,2024-01-01
SKU00015,22,233.17,2024-01-27
SKU00016,53,30.06,2025-07-01
SKU00017,2,131.87,2024-06-08
SKU00018,88,218.6,2025-02-02
SKU00019,30,79.29,2025-06-26
SKU00020,38,473.83,2024-05-06
SKU00021,2,383.66,2024-07-28
SKU00022,64,134.88,2024-05-29
SKU00023,60,295.81,2024-01-31
SKU00024,21,361.0,2025-09-03
SKU00025,33,470.7,2024-10-28
SKU00026,76,440.94,2025-11-13
SKU00027,58,258.08,2024-09-13
SKU00028,22,387.55,2024-02-26
SKU00029,89,281.51,2024-01-09
SKU00030,49,276.8,2024-01-05
SKU00031,91,58.26,2024-04-23
SKU00032,59,63.94,2025-11-15
SKU00033,42,265.24,2024-07-23
SKU00034,92,135.16,2024-01-24
SKU00035,60,11.5,2025-05-07
SKU00036,80,361.7,2025-11-12
SKU00037,15,17.21,2025-02-09
SKU00038,62,298.04,2024-04-12
SKU00039,62,270.06,2024-02-29
SKU00040,47,484.44,2024-03-26
SKU00041,62,242.62,2025-11-07
SKU00042,51,32.74,2025-01-06
SKU00043,55,276.29,2025-11-09
SKU00044,64,420.71,2025-08-18
SKU00045,3,498.43,2024-07-20
SKU00046,51,215.74,2025-08-24
SKU00047,7,160.83,2024-03-29
SKU00048,21,453.42,2025-03-12
SKU00049,73,96.43,2024-04-29
SKU00050,39,308.1,2024-06-04
SKU00051,18,203.45,2025-02-02
SKU00052,4,21.5,2024-07-06
SKU00053,89,174.3,2024-02-21
SKU00054,60,133.35,2025-10-13
SKU00055,14,343.36,2025-06-14
SKU00056,9,474.45,2025-04-24
SKU00057,90,134.76,2025-08-09
SKU00058,53,405.92,2024-08-17
SKU00059,2,28.62,2025-04-25
SKU00060,84,269.52,2024-05-09
SKU00061,92,36.2,2024-02-24
SKU00062,60,467.08,2024-09-27
SKU00063,71,383.41,2024-04-09
SKU00064,44,329.32,2024-03-09
SKU00065,8,412.12,2024-10-25
SKU00066,47,324.11,2025-06-12
SKU00067,35,484.5,2024-12-19
SKU00068,78,357.27,2025-09-19
SKU00069,81,462.4,2024-05-31
SKU00070,36,259.05,2024-11-25
SKU00071,50,59.42,2024-04-25
SKU00072,4,264.56,2025-06-25
SKU00073,2,64.31,2024-11-18
SKU00074,6,296.65,2025-07-16
SKU00075,54,241.76,2025-07-25
SKU00076,4,311.67,2024-08-16
SKU00077,54,6.01,2024-12-25
SKU00078,93,98.23,2024-01-05
SKU00079,63,246.17,2024-01-28
SKU00080,18,475.3,2024-12-29
SKU00081,90,192.42,2025-04-06
SKU00082,44,212.76,2024-08-18
SKU00083,34,357.63,2025-01-29
SKU00084,74,302.29,2024-09-27
SKU00085,62,150.16,2024-10-30
SKU00086,100,206.0,2025-01-17
SKU00087,14,109.63,2025-07-11
SKU00088,95,483.04,2024-01-28
SKU00089,48,66.19,2025-06-02
SKU00090,15,186.55,2024-07-17
SKU00091,72,13.89,2025-08-28
SKU00092,78,111.67,2024-03-22
SKU00093,87,390.46,2024-03-28
SKU00094,62,101.39,2025-01-24
SKU00095,40,40.95,2025-08-02
SKU00096,85,237.75,2025-03-26
